zipcode,lat,lng
140400,55.104982,38.7568362
140108,30.9510393,76.6181655
140729,,
140000,,
141000,,
140200,55.3108589,38.6782403
141002,30.8871823,75.8446802
140800,,
140100,1.307746,103.801113
140400,55.104982,38.7568362
140100,1.307746,103.801113
140200,55.3108589,38.6782403
140400,55.104982,38.7568362
140108,30.9510393,76.6181655
140400,55.104982,38.7568362
140400,55.104982,38.7568362
140000,,
141081,1.294569,103.809252
140800,,
141000,,
140300,55.3888405,39.0623779
140181,1.294549,103.805379
140100,1.307746,103.801113
140181,1.294549,103.805379
140922,,
140200,55.3108589,38.6782403
140100,1.307746,103.801113
140800,,
140000,,
140100,1.307746,103.801113
140400,55.104982,38.7568362
140107,30.6576091,76.8204829
140400,55.104982,38.7568362
140100,1.307746,103.801113
140100,1.307746,103.801113
140110,30.833115,76.675922
140700,55.5750924,39.5151319
140100,1.307746,103.801113
140100,1.307746,103.801113
140700,55.5750924,39.5151319
140105,55.6105171,38.2137646
140100,1.307746,103.801113
140800,,
140500,54.9445172,39.03504909999999
140110,30.833115,76.675922
140110,30.833115,76.675922
140000,,
140100,1.307746,103.801113
140000,,
141002,30.8871823,75.8446802
140100,1.307746,103.801113
140000,,
140100,1.307746,103.801113
140000,,
140000,,
140700,55.5750924,39.5151319
140700,55.5750924,39.5151319
140400,55.104982,38.7568362
152200,47.2488999,127.106
150500,45.9855099,126.60487
150500,45.9855099,126.60487
150204,45.0848699,127.31818
152221,47.4768799,127.50281
150400,45.7350199,127.47195
150000,57.6222959,39.8886242
150100,45.3771999,126.317
150100,45.3771999,126.317
150000,57.6222959,39.8886242
150000,57.6222959,39.8886242
150000,57.6222959,39.8886242
152201,5.7228178,-72.85007089999999
150000,57.6222959,39.8886242
210000,32.0562999,118.806
210711,,
210214,,
210504,25.5851004,80.0758425
210100,,
210000,32.0562999,118.806
210100,,
210200,37.7217441,128.9119977
210200,37.7217441,128.9119977
210000,32.0562999,118.806
210200,37.7217441,128.9119977
210200,37.7217441,128.9119977
210000,32.0562999,118.806
210106,,
210200,37.7217441,128.9119977
211081,,
210100,,
210200,37.7217441,128.9119977
210113,,
210203,25.3943645,80.7436141
210203,25.3943645,80.7436141
210500,,
210100,,
210000,32.0562999,118.806
210000,32.0562999,118.806
210000,32.0562999,118.806
210882,,
210202,25.2008669,80.6548882
210200,37.7217441,128.9119977
210200,37.7217441,128.9119977
210200,37.7217441,128.9119977
210000,32.0562999,118.806
210211,,
210200,37.7217441,128.9119977
210200,37.7217441,128.9119977
210000,32.0562999,118.806
210200,37.7217441,128.9119977
210200,37.7217441,128.9119977
210106,,
210200,37.7217441,128.9119977
210911,37.658994,128.7996239
210200,37.7217441,128.9119977
210200,37.7217441,128.9119977
210200,37.7217441,128.9119977
210000,32.0562999,118.806
210100,,
210202,25.2008669,80.6548882
210200,37.7217441,128.9119977
210200,37.7217441,128.9119977
210200,37.7217441,128.9119977
210203,25.3943645,80.7436141
210200,37.7217441,128.9119977
210200,37.7217441,128.9119977
210100,,
210200,37.7217441,128.9119977
210602,,
210000,32.0562999,118.806
210200,37.7217441,128.9119977
210200,37.7217441,128.9119977
210200,37.7217441,128.9119977
210100,,
210202,25.2008669,80.6548882
210200,37.7217441,128.9119977
210200,37.7217441,128.9119977
210000,32.0562999,118.806
210200,37.7217441,128.9119977
210000,32.0562999,118.806
210200,37.7217441,128.9119977
211300,31.3366433,118.9412196
